Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD68,Pune,ABC Institute,1st,Cloud Computing,College Collaboration
LD69,Mumbai,GHI University,4th,Cloud Computing,Google Form
LD70,Mumbai,XYZ University,3rd,AI,Google Form
LD71,Ahmedabad,ABC Institute,4th,AI,College Collaboration
LD72,Ahmedabad,GHI University,2nd,Robotics,Mass-Mailing
LD73,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Instagram
LD74,Delhi,JKL Institute,4th,AI,LinkedIn
LD75,Pune,GHI University,3rd,AI,College Collaboration
LD76,Mumbai,PQR College,4th,Robotics,College Collaboration
LD77,Ahmedabad,ABC Institute,4th,Data Science,Whatsapp
LD78,Kolkata,XYZ University,1st,Cybersecurity,Google Form
LD79,Surat,ABC Institute,2nd,AI,College Collaboration
LD80,Delhi,DEF Academy,1st,Cloud Computing,LinkedIn
LD81,Delhi,PQR College,4th,Cloud Computing,LinkedIn
LD82,Delhi,DEF Academy,4th,AI,Whatsapp
LD83,Bangalore,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD84,Delhi,ABC Institute,3rd,Cloud Computing,Google Form
LD85,Pune,ABC Institute,2nd,Cybersecurity,Mass-Mailing
LD86,Ahmedabad,XYZ University,3rd,Cybersecurity,Instagram
LD87,Bangalore,JKL Institute,4th,Cloud Computing,LinkedIn
LD88,Ahmedabad,DEF Academy,2nd,Data Science,Mass-Mailing
LD89,Pune,GHI University,2nd,AI,Whatsapp
LD90,Surat,XYZ University,4th,Cloud Computing,LinkedIn
LD91,Pune,PQR College,4th,Data Science,Instagram
LD92,Mumbai,DEF Academy,3rd,Cloud Computing,Google Form
LD93,Pune,GHI University,1st,Data Science,Google Form
LD94,Kolkata,JKL Institute,3rd,Robotics,Google Form
LD95,Ahmedabad,ABC Institute,1st,Robotics,Mass-Mailing
LD96,Ahmedabad,JKL Institute,3rd,AI,Google Form
LD97,Surat,GHI University,1st,Robotics,College Collaboration
LD98,Chennai,JKL Institute,4th,Cybersecurity,Whatsapp
LD99,Chennai,ABC Institute,3rd,Robotics,Instagram
LD100,Bangalore,ABC Institute,4th,Data Science,College Collaboration
LD101,Delhi,XYZ University,1st,AI,Mass-Mailing
LD102,Kolkata,DEF Academy,1st,Cloud Computing,Whatsapp
LD103,Pune,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD104,Surat,PQR College,1st,Data Science,Whatsapp
LD105,Ahmedabad,GHI University,2nd,Robotics,Instagram
LD106,Surat,XYZ University,1st,AI,Whatsapp
LD107,Pune,GHI University,4th,AI,Whatsapp
LD108,Pune,PQR College,4th,AI,Mass-Mailing
LD109,Delhi,ABC Institute,3rd,Data Science,LinkedIn
LD110,Surat,DEF Academy,3rd,Cloud Computing,LinkedIn
LD111,Ahmedabad,JKL Institute,4th,Cloud Computing,LinkedIn
LD112,Delhi,DEF Academy,3rd,Cybersecurity,Google Form
LD113,Mumbai,GHI University,3rd,Electric Vehicle,Google Form
LD114,Ahmedabad,DEF Academy,2nd,Cloud Computing,College Collaboration
LD115,Mumbai,XYZ University,1st,Data Science,Instagram
LD116,Chennai,PQR College,4th,Electric Vehicle,LinkedIn
LD117,Kolkata,DEF Academy,2nd,Robotics,LinkedIn
LD118,Pune,ABC Institute,1st,Cloud Computing,Google Form
LD119,Mumbai,PQR College,3rd,AI,Google Form
LD120,Surat,DEF Academy,4th,Robotics,Instagram
LD121,Chennai,PQR College,2nd,Cybersecurity,College Collaboration
LD122,Pune,ABC Institute,2nd,Cybersecurity,LinkedIn
LD123,Pune,PQR College,1st,Electric Vehicle,Google Form
LD124,Kolkata,ABC Institute,3rd,Cybersecurity,Instagram
LD125,Surat,GHI University,4th,AI,Mass-Mailing
LD126,Delhi,XYZ University,4th,Cybersecurity,College Collaboration
LD127,Surat,GHI University,2nd,Data Science,Mass-Mailing
LD128,Chennai,XYZ University,2nd,Cloud Computing,Instagram
LD129,Kolkata,JKL Institute,4th,AI,Whatsapp
LD130,Chennai,DEF Academy,1st,Cybersecurity,Mass-Mailing
LD131,Ahmedabad,ABC Institute,3rd,Cloud Computing,College Collaboration
LD132,Mumbai,ABC Institute,3rd,Cybersecurity,Google Form
LD133,Ahmedabad,XYZ University,1st,AI,Whatsapp
LD134,Pune,PQR College,4th,Data Science,College Collaboration
LD135,Delhi,ABC Institute,2nd,Data Science,Instagram
LD136,Kolkata,PQR College,3rd,Electric Vehicle,Instagram
LD137,Delhi,XYZ University,1st,Data Science,Instagram
LD138,Ahmedabad,DEF Academy,2nd,Cloud Computing,Google Form
LD139,Surat,XYZ University,4th,Robotics,College Collaboration
LD140,Ahmedabad,GHI University,1st,Electric Vehicle,College Collaboration
LD141,Surat,ABC Institute,3rd,Data Science,Instagram
LD142,Delhi,PQR College,1st,Electric Vehicle,Instagram
LD143,Mumbai,XYZ University,4th,AI,Google Form
LD144,Bangalore,PQR College,1st,Data Science,Whatsapp
LD145,Bangalore,ABC Institute,2nd,Cybersecurity,Mass-Mailing
LD146,Chennai,JKL Institute,1st,Cloud Computing,Google Form
LD147,Delhi,GHI University,3rd,Cybersecurity,College Collaboration
LD148,Surat,ABC Institute,1st,Robotics,Whatsapp
LD149,Kolkata,XYZ University,2nd,Robotics,Google Form
LD150,Surat,GHI University,1st,Robotics,Whatsapp
LD151,Chennai,ABC Institute,3rd,Cloud Computing,Instagram
LD152,Surat,JKL Institute,4th,Data Science,College Collaboration
LD153,Chennai,PQR College,4th,Cybersecurity,Google Form
LD154,Pune,JKL Institute,4th,Robotics,LinkedIn
LD155,Surat,DEF Academy,4th,Electric Vehicle,College Collaboration
LD156,Ahmedabad,JKL Institute,3rd,Data Science,LinkedIn
LD157,Mumbai,ABC Institute,3rd,Cloud Computing,Whatsapp
LD158,Chennai,GHI University,3rd,Data Science,LinkedIn
LD159,Mumbai,ABC Institute,1st,Cloud Computing,College Collaboration
LD160,Kolkata,ABC Institute,1st,Data Science,LinkedIn
LD161,Chennai,ABC Institute,4th,Robotics,Whatsapp
LD162,Mumbai,ABC Institute,1st,Cybersecurity,Mass-Mailing
LD163,Surat,ABC Institute,4th,Robotics,College Collaboration
LD164,Pune,GHI University,1st,Data Science,Whatsapp
LD165,Kolkata,GHI University,1st,Robotics,Google Form
LD166,Kolkata,DEF Academy,2nd,AI,Mass-Mailing
LD167,Kolkata,GHI University,1st,Cybersecurity,Google Form
LD168,Ahmedabad,PQR College,1st,Robotics,College Collaboration
LD169,Pune,ABC Institute,4th,Cybersecurity,LinkedIn
LD170,Kolkata,PQR College,3rd,Cybersecurity,College Collaboration
LD171,Delhi,GHI University,1st,Robotics,Google Form
LD172,Chennai,DEF Academy,3rd,Cybersecurity,Instagram
LD173,Ahmedabad,XYZ University,3rd,Cybersecurity,College Collaboration
LD174,Surat,XYZ University,1st,Cloud Computing,Google Form
LD175,Ahmedabad,JKL Institute,1st,Robotics,College Collaboration
LD176,Bangalore,DEF Academy,4th,Cloud Computing,College Collaboration
LD177,Ahmedabad,JKL Institute,3rd,Robotics,College Collaboration
LD178,Ahmedabad,GHI University,1st,AI,Whatsapp
LD179,Chennai,DEF Academy,4th,Data Science,Google Form
LD180,Bangalore,DEF Academy,2nd,Robotics,Google Form
LD181,Mumbai,GHI University,2nd,Data Science,Whatsapp
LD182,Kolkata,PQR College,3rd,AI,Whatsapp
LD183,Pune,DEF Academy,1st,AI,LinkedIn
LD184,Kolkata,XYZ University,3rd,Cloud Computing,Instagram
LD185,Surat,GHI University,1st,Cybersecurity,Mass-Mailing
LD186,Kolkata,DEF Academy,4th,Data Science,LinkedIn
LD187,Kolkata,DEF Academy,4th,Electric Vehicle,Instagram
LD188,Bangalore,PQR College,2nd,Robotics,Instagram
LD189,Delhi,ABC Institute,2nd,Cloud Computing,LinkedIn
LD190,Mumbai,DEF Academy,4th,Cloud Computing,Google Form
LD191,Chennai,XYZ University,3rd,Electric Vehicle,Instagram
LD192,Surat,JKL Institute,1st,Robotics,College Collaboration
LD193,Surat,PQR College,1st,Robotics,Mass-Mailing
LD194,Mumbai,ABC Institute,1st,Data Science,Whatsapp
LD195,Surat,ABC Institute,2nd,Electric Vehicle,Google Form
LD196,Mumbai,XYZ University,4th,Electric Vehicle,College Collaboration
LD197,Bangalore,PQR College,4th,Data Science,Instagram
LD198,Ahmedabad,JKL Institute,4th,Electric Vehicle,Google Form
LD199,Bangalore,ABC Institute,3rd,AI,Google Form
LD200,Ahmedabad,DEF Academy,3rd,Robotics,Google Form
LD201,Mumbai,ABC Institute,1st,Cybersecurity,Google Form
LD202,Delhi,PQR College,4th,Robotics,Instagram
LD203,Mumbai,PQR College,3rd,Cloud Computing,Instagram
LD204,Delhi,PQR College,2nd,Cybersecurity,Google Form
LD205,Mumbai,XYZ University,4th,Data Science,Google Form
LD206,Mumbai,XYZ University,3rd,Cloud Computing,Instagram
LD207,Pune,DEF Academy,3rd,Electric Vehicle,Instagram
LD208,Bangalore,DEF Academy,4th,Electric Vehicle,Google Form
LD209,Kolkata,XYZ University,2nd,Cloud Computing,Whatsapp
LD210,Bangalore,JKL Institute,4th,AI,Instagram
LD211,Kolkata,XYZ University,4th,AI,College Collaboration
LD212,Ahmedabad,JKL Institute,4th,AI,College Collaboration
LD213,Kolkata,ABC Institute,3rd,AI,College Collaboration
LD214,Mumbai,PQR College,1st,Robotics,Instagram
LD215,Kolkata,JKL Institute,4th,Robotics,LinkedIn
LD216,Delhi,DEF Academy,4th,Robotics,Mass-Mailing
LD217,Pune,XYZ University,2nd,Data Science,Mass-Mailing
LD218,Pune,XYZ University,4th,Data Science,LinkedIn
LD219,Chennai,PQR College,3rd,AI,College Collaboration
LD220,Bangalore,JKL Institute,2nd,Cybersecurity,Google Form
LD221,Kolkata,JKL Institute,4th,Data Science,Mass-Mailing
LD222,Kolkata,DEF Academy,2nd,Cybersecurity,Instagram
LD223,Pune,DEF Academy,4th,Cybersecurity,LinkedIn
LD224,Chennai,PQR College,2nd,Electric Vehicle,Mass-Mailing
LD225,Bangalore,XYZ University,3rd,Data Science,Google Form
LD226,Surat,XYZ University,4th,Electric Vehicle,Whatsapp
LD227,Bangalore,PQR College,2nd,Cloud Computing,Whatsapp
LD228,Bangalore,ABC Institute,2nd,Cloud Computing,Whatsapp
LD229,Ahmedabad,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD230,Ahmedabad,PQR College,2nd,Cloud Computing,LinkedIn
LD231,Delhi,ABC Institute,4th,Data Science,Instagram
LD232,Pune,JKL Institute,3rd,Cloud Computing,College Collaboration
LD233,Chennai,JKL Institute,3rd,Data Science,Google Form
LD234,Chennai,GHI University,3rd,Electric Vehicle,Whatsapp
LD235,Chennai,ABC Institute,2nd,Robotics,College Collaboration
LD236,Kolkata,GHI University,1st,Electric Vehicle,College Collaboration
LD237,Delhi,XYZ University,4th,Data Science,Whatsapp
LD238,Chennai,JKL Institute,2nd,Robotics,Whatsapp
LD239,Pune,ABC Institute,4th,Cloud Computing,College Collaboration
LD240,Mumbai,GHI University,4th,Robotics,Mass-Mailing
LD241,Bangalore,DEF Academy,4th,Cloud Computing,Instagram
LD242,Bangalore,DEF Academy,3rd,Electric Vehicle,Whatsapp
LD243,Mumbai,JKL Institute,3rd,Cybersecurity,LinkedIn
LD244,Delhi,DEF Academy,4th,Data Science,Instagram
LD245,Kolkata,JKL Institute,4th,AI,Instagram
LD246,Chennai,GHI University,1st,Cloud Computing,Instagram
LD247,Delhi,ABC Institute,4th,AI,Mass-Mailing
LD248,Bangalore,GHI University,4th,Robotics,Mass-Mailing
LD249,Ahmedabad,ABC Institute,4th,Cybersecurity,Instagram
LD250,Delhi,ABC Institute,1st,Cloud Computing,LinkedIn
LD251,Surat,PQR College,2nd,Data Science,Google Form
LD252,Surat,JKL Institute,4th,Cybersecurity,LinkedIn
LD253,Chennai,DEF Academy,1st,Cybersecurity,Instagram
LD254,Mumbai,GHI University,3rd,Cloud Computing,Google Form
LD255,Ahmedabad,XYZ University,2nd,Robotics,Google Form
LD256,Delhi,DEF Academy,3rd,Data Science,College Collaboration
LD257,Pune,DEF Academy,1st,Cloud Computing,Whatsapp
LD258,Delhi,ABC Institute,4th,Electric Vehicle,Instagram
LD259,Chennai,PQR College,1st,Cybersecurity,Google Form
LD260,Surat,XYZ University,4th,Cloud Computing,LinkedIn
LD261,Ahmedabad,XYZ University,1st,Data Science,Whatsapp
LD262,Kolkata,JKL Institute,3rd,Data Science,College Collaboration
LD263,Ahmedabad,XYZ University,1st,Cloud Computing,LinkedIn
LD264,Surat,GHI University,1st,Data Science,Whatsapp
LD265,Surat,JKL Institute,4th,AI,Google Form
LD266,Pune,GHI University,3rd,Electric Vehicle,Whatsapp
LD267,Pune,DEF Academy,2nd,Robotics,College Collaboration
LD268,Surat,JKL Institute,1st,Electric Vehicle,LinkedIn
LD269,Kolkata,ABC Institute,2nd,Data Science,Mass-Mailing
LD270,Pune,GHI University,4th,Electric Vehicle,LinkedIn
LD271,Kolkata,DEF Academy,2nd,AI,LinkedIn
LD272,Delhi,JKL Institute,4th,Data Science,LinkedIn
LD273,Surat,XYZ University,4th,Robotics,Google Form
LD274,Pune,ABC Institute,4th,Robotics,Instagram
LD275,Mumbai,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD276,Delhi,XYZ University,1st,Robotics,Whatsapp
LD277,Kolkata,XYZ University,3rd,Robotics,Mass-Mailing
LD278,Mumbai,GHI University,1st,Robotics,Whatsapp
LD279,Surat,JKL Institute,1st,Cybersecurity,Google Form
LD280,Bangalore,JKL Institute,1st,Robotics,College Collaboration
LD281,Chennai,JKL Institute,2nd,Electric Vehicle,Whatsapp
LD282,Chennai,DEF Academy,2nd,Cybersecurity,Instagram
LD283,Ahmedabad,JKL Institute,4th,Cloud Computing,LinkedIn
LD284,Ahmedabad,JKL Institute,2nd,Cloud Computing,Instagram
LD285,Ahmedabad,ABC Institute,4th,Data Science,Google Form
LD286,Bangalore,XYZ University,1st,Robotics,Whatsapp
LD287,Ahmedabad,GHI University,4th,Electric Vehicle,Whatsapp
LD288,Chennai,XYZ University,4th,Data Science,Mass-Mailing
LD289,Pune,GHI University,3rd,Cloud Computing,LinkedIn
LD290,Chennai,GHI University,3rd,AI,Whatsapp
LD291,Bangalore,GHI University,1st,Data Science,Whatsapp
LD292,Mumbai,DEF Academy,1st,AI,Whatsapp
LD293,Ahmedabad,DEF Academy,4th,Cybersecurity,LinkedIn
LD294,Delhi,JKL Institute,3rd,Data Science,Google Form
LD295,Bangalore,XYZ University,4th,Cloud Computing,Whatsapp
LD296,Chennai,DEF Academy,4th,Electric Vehicle,College Collaboration
LD297,Mumbai,ABC Institute,4th,AI,LinkedIn
LD298,Surat,XYZ University,4th,Electric Vehicle,LinkedIn
LD299,Bangalore,XYZ University,2nd,AI,College Collaboration
LD300,Bangalore,ABC Institute,1st,Cloud Computing,Instagram
LD301,Delhi,ABC Institute,3rd,AI,Mass-Mailing
LD302,Kolkata,GHI University,1st,Data Science,Google Form
LD303,Delhi,DEF Academy,1st,Robotics,LinkedIn
LD304,Surat,XYZ University,1st,AI,LinkedIn
LD305,Bangalore,PQR College,2nd,Data Science,Google Form
LD306,Surat,DEF Academy,1st,AI,College Collaboration
LD307,Surat,XYZ University,4th,Cybersecurity,LinkedIn
LD308,Surat,GHI University,2nd,AI,Mass-Mailing
LD309,Pune,PQR College,4th,Data Science,Mass-Mailing
LD310,Surat,JKL Institute,1st,Cybersecurity,Whatsapp
LD311,Surat,ABC Institute,3rd,AI,Google Form
LD312,Kolkata,XYZ University,4th,Robotics,Instagram
LD313,Kolkata,PQR College,3rd,Data Science,Instagram
LD314,Chennai,XYZ University,2nd,Data Science,Google Form
LD315,Mumbai,GHI University,1st,AI,Google Form
LD316,Surat,JKL Institute,1st,Electric Vehicle,Google Form
LD317,Chennai,XYZ University,2nd,Data Science,LinkedIn
LD318,Chennai,PQR College,2nd,Cybersecurity,Whatsapp
LD319,Chennai,PQR College,4th,Electric Vehicle,LinkedIn
LD320,Pune,GHI University,1st,Cybersecurity,LinkedIn
LD321,Mumbai,XYZ University,1st,AI,Instagram
LD322,Bangalore,GHI University,4th,Cybersecurity,Mass-Mailing
LD323,Pune,GHI University,4th,Electric Vehicle,LinkedIn
LD324,Surat,DEF Academy,2nd,Cybersecurity,College Collaboration
LD325,Pune,GHI University,2nd,Electric Vehicle,College Collaboration
LD326,Kolkata,JKL Institute,1st,AI,Whatsapp
LD327,Pune,PQR College,1st,Robotics,Google Form
LD328,Bangalore,GHI University,4th,Cloud Computing,Whatsapp
LD329,Mumbai,GHI University,2nd,Electric Vehicle,College Collaboration
LD330,Pune,ABC Institute,4th,Cybersecurity,College Collaboration
LD331,Pune,DEF Academy,1st,Electric Vehicle,Instagram
LD332,Bangalore,GHI University,3rd,Cloud Computing,LinkedIn
LD333,Kolkata,ABC Institute,3rd,Cybersecurity,LinkedIn
LD334,Chennai,DEF Academy,2nd,AI,Whatsapp
LD335,Bangalore,DEF Academy,4th,Cybersecurity,Mass-Mailing
LD336,Mumbai,PQR College,1st,Cloud Computing,College Collaboration
LD337,Ahmedabad,XYZ University,3rd,Cybersecurity,LinkedIn
LD338,Pune,GHI University,3rd,Electric Vehicle,Google Form
LD339,Kolkata,XYZ University,3rd,Robotics,LinkedIn
LD340,Bangalore,DEF Academy,1st,Cloud Computing,College Collaboration
LD341,Bangalore,DEF Academy,3rd,Cloud Computing,College Collaboration
LD342,Ahmedabad,XYZ University,4th,Data Science,LinkedIn
LD343,Mumbai,PQR College,4th,Cybersecurity,Mass-Mailing
LD344,Ahmedabad,DEF Academy,2nd,Cloud Computing,Mass-Mailing
LD345,Surat,PQR College,2nd,Data Science,Google Form
LD346,Kolkata,JKL Institute,2nd,Cloud Computing,Mass-Mailing
LD347,Surat,XYZ University,3rd,Cybersecurity,College Collaboration
LD348,Ahmedabad,GHI University,1st,Robotics,LinkedIn
LD349,Kolkata,GHI University,1st,AI,Google Form
LD350,Chennai,GHI University,3rd,Cybersecurity,LinkedIn
LD351,Ahmedabad,JKL Institute,3rd,Electric Vehicle,Whatsapp
LD352,Kolkata,GHI University,1st,Cloud Computing,Whatsapp
LD353,Chennai,PQR College,3rd,Cybersecurity,LinkedIn
LD354,Mumbai,JKL Institute,1st,Robotics,College Collaboration
LD355,Delhi,GHI University,1st,Cloud Computing,Mass-Mailing
LD356,Delhi,JKL Institute,3rd,Cloud Computing,Google Form
LD357,Bangalore,ABC Institute,1st,Data Science,Google Form
LD358,Kolkata,ABC Institute,1st,Electric Vehicle,College Collaboration
LD359,Chennai,JKL Institute,2nd,AI,LinkedIn
LD360,Mumbai,ABC Institute,3rd,Data Science,Mass-Mailing
LD361,Surat,GHI University,3rd,Cybersecurity,Google Form
LD362,Surat,ABC Institute,3rd,Robotics,Google Form
LD363,Mumbai,JKL Institute,4th,Cloud Computing,Google Form
LD364,Chennai,ABC Institute,4th,Cloud Computing,Mass-Mailing
LD365,Delhi,DEF Academy,4th,Cybersecurity,LinkedIn
LD366,Surat,DEF Academy,3rd,AI,College Collaboration
LD367,Pune,JKL Institute,1st,Cloud Computing,Google Form
LD368,Ahmedabad,GHI University,2nd,AI,Google Form
LD369,Kolkata,DEF Academy,4th,Cloud Computing,LinkedIn
LD370,Kolkata,XYZ University,2nd,Data Science,Google Form
LD371,Bangalore,GHI University,4th,Data Science,Google Form
LD372,Mumbai,GHI University,2nd,Cybersecurity,College Collaboration
LD373,Bangalore,ABC Institute,4th,Cybersecurity,LinkedIn
LD374,Kolkata,JKL Institute,3rd,Electric Vehicle,LinkedIn
LD375,Mumbai,ABC Institute,3rd,Cybersecurity,Mass-Mailing
LD376,Mumbai,DEF Academy,2nd,Robotics,College Collaboration
LD377,Bangalore,GHI University,3rd,AI,LinkedIn
LD378,Pune,XYZ University,1st,Robotics,Whatsapp
LD379,Ahmedabad,DEF Academy,4th,Cybersecurity,Google Form
LD380,Delhi,JKL Institute,1st,Electric Vehicle,Google Form
LD381,Delhi,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD382,Ahmedabad,PQR College,4th,Electric Vehicle,LinkedIn
LD383,Bangalore,JKL Institute,3rd,Data Science,Whatsapp
LD384,Pune,PQR College,4th,Robotics,Google Form
LD385,Pune,GHI University,1st,Cloud Computing,LinkedIn
LD386,Delhi,PQR College,2nd,Data Science,Instagram
LD387,Delhi,ABC Institute,3rd,Cloud Computing,Mass-Mailing
LD388,Pune,JKL Institute,2nd,Robotics,Whatsapp
LD389,Surat,GHI University,2nd,Cybersecurity,College Collaboration
LD390,Chennai,PQR College,4th,Data Science,College Collaboration
LD391,Chennai,JKL Institute,1st,Robotics,Instagram
LD392,Pune,XYZ University,4th,Electric Vehicle,College Collaboration
LD393,Surat,ABC Institute,3rd,Robotics,Instagram
LD394,Kolkata,XYZ University,1st,Cybersecurity,College Collaboration
LD395,Chennai,PQR College,2nd,Cloud Computing,Instagram
LD396,Mumbai,DEF Academy,4th,Cybersecurity,Instagram
LD397,Surat,PQR College,3rd,Data Science,Mass-Mailing
LD398,Chennai,PQR College,1st,Electric Vehicle,Whatsapp
LD399,Pune,GHI University,3rd,Robotics,Instagram
LD400,Ahmedabad,XYZ University,2nd,Data Science,Mass-Mailing
LD401,Surat,ABC Institute,2nd,Robotics,Whatsapp
LD402,Pune,ABC Institute,3rd,AI,College Collaboration
LD403,Mumbai,XYZ University,3rd,Cybersecurity,Whatsapp
LD404,Pune,ABC Institute,1st,Robotics,Instagram
LD405,Kolkata,XYZ University,2nd,Data Science,College Collaboration
LD406,Mumbai,DEF Academy,3rd,Cybersecurity,Google Form
LD407,Ahmedabad,ABC Institute,2nd,Cybersecurity,Mass-Mailing
LD408,Delhi,ABC Institute,1st,Cybersecurity,Instagram
LD409,Mumbai,JKL Institute,3rd,Electric Vehicle,Google Form
LD410,Kolkata,ABC Institute,1st,Electric Vehicle,Instagram
LD411,Surat,PQR College,3rd,Cybersecurity,College Collaboration
LD412,Mumbai,ABC Institute,4th,Data Science,Whatsapp
LD413,Delhi,DEF Academy,1st,Cybersecurity,Instagram
LD414,Surat,GHI University,4th,Cloud Computing,Whatsapp
LD415,Chennai,PQR College,4th,AI,College Collaboration
LD416,Bangalore,ABC Institute,1st,Cloud Computing,College Collaboration
LD417,Bangalore,PQR College,4th,Cybersecurity,Google Form
LD418,Delhi,PQR College,2nd,Cybersecurity,College Collaboration
LD419,Chennai,ABC Institute,3rd,Robotics,Google Form
LD420,Pune,GHI University,3rd,Robotics,Mass-Mailing
LD421,Delhi,XYZ University,1st,Data Science,LinkedIn
LD422,Mumbai,JKL Institute,3rd,AI,Google Form
LD423,Bangalore,GHI University,4th,Electric Vehicle,Instagram
LD424,Bangalore,XYZ University,3rd,Electric Vehicle,Instagram
LD425,Pune,JKL Institute,2nd,Data Science,Instagram
LD426,Surat,PQR College,1st,Cybersecurity,Google Form
LD427,Chennai,JKL Institute,2nd,Data Science,Whatsapp
LD428,Chennai,XYZ University,2nd,Cybersecurity,Google Form
LD429,Delhi,DEF Academy,1st,AI,Mass-Mailing
LD430,Ahmedabad,DEF Academy,4th,Data Science,Whatsapp
LD431,Mumbai,PQR College,1st,Cloud Computing,College Collaboration
LD432,Surat,JKL Institute,3rd,Data Science,Whatsapp
LD433,Delhi,JKL Institute,4th,Cloud Computing,Instagram
LD434,Kolkata,GHI University,1st,AI,College Collaboration
LD435,Mumbai,ABC Institute,3rd,Cloud Computing,Google Form
